id,created_at,name,slug,updated_at,url,checksum,counter
623,1389052800,horse,horse,1389052800,https://www.igdb.com/categories/horse,f1da837b-34e2-10c1-7018-12bdb28378c7,52
4219,1507075200,hammer,hammer,1507075200,https://www.igdb.com/categories/hammer,1f360ec8-e7c0-af37-f451-0e9a1becec7b,48
350,1373068800,comedy,comedy,1373068800,https://www.igdb.com/categories/comedy,4b9d85ad-2734-2669-9f07-1d471658846c,48
1971,1444262400,over the shoulder,over-the-shoulder,1444262400,https://www.igdb.com/categories/over-the-shoulder,704fde2c-270e-dd97-48a8-01a4665f7409,53
2002,1445212800,economy,economy,1445212800,https://www.igdb.com/categories/economy,3601a5a5-0355-121a-6cc6-60fb29c2bfc8,21
11,1304640000,you get to be evil!,you-get-to-be-evil,1323216000,https://www.igdb.com/categories/you-get-to-be-evil,ae52efb6-057c-6fb7-a756-3f9ad1161f9a,4
2069,1450915200,pizza,pizza,1450915200,https://www.igdb.com/categories/pizza,b4e1f1f8-ce49-147a-e6f2-c55133f1e54c,12
4418,1507075200,door,door,1507075200,https://www.igdb.com/categories/door,f7a6cf44-9769-f13c-3352-8c1a344fccd2,132
4388,1507075200,shopping,shopping,1507075200,https://www.igdb.com/categories/shopping,629fe060-a1cc-df52-900f-b259e3a3cba9,58
4186,1507075200,trash can,trash-can,1507075200,https://www.igdb.com/categories/trash-can,2e322d07-ec67-b296-51e8-dce9036e9d16,70
5120,1507161600,tombstone,tombstone,1507161600,https://www.igdb.com/categories/tombstone,7bb168d7-eec6-c1e4-75bd-fd226661b8ee,36
4147,1507075200,rail track,rail-track,1507075200,https://www.igdb.com/categories/rail-track,114d65c8-8fdd-aec4-0cb1-2fc6e4836257,51
4528,1507075200,palm tree,palm-tree,1507075200,https://www.igdb.com/categories/palm-tree,1f70e974-8821-21a9-599f-6b42b0720170,38
3910,1499558400,cloud,cloud,1499558400,https://www.igdb.com/categories/cloud,c9fca239-152c-d527-3ba4-63862e05750f,43
3912,1499558400,boost,boost,1499558400,https://www.igdb.com/categories/boost,85c9095e-5819-a66a-e2b5-2753d76852f6,14
4727,1507075200,key,key,1507075200,https://www.igdb.com/categories/key,c13b643b-5c2b-e65a-0f9d-b2cd2759f071,78
282,1372636800,bestseller,bestseller,1372636800,https://www.igdb.com/categories/bestseller,4ac7cf83-3616-8c33-ce3c-1835367ea7b5,2
4611,1507075200,cutscene,cutscene,1507075200,https://www.igdb.com/categories/cutscene,c86e8a67-1757-61ff-9c10-60656bbd5b0f,134
4623,1507075200,fake in-game advertising,fake-in-game-advertising,1507075200,https://www.igdb.com/categories/fake-in-game-advertising,3cd4eb41-7db5-d37e-2d46-8894ef9b3a2f,45
4634,1507075200,pillow,pillow,1507075200,https://www.igdb.com/categories/pillow,03c289f9-aada-69e8-67f5-d82fd2869712,52
5848,1507248000,dam,dam,1507248000,https://www.igdb.com/categories/dam,a6f86bb8-dce1-c093-fcb5-61a13c6933c3,7
4590,1507075200,paper,paper,1507075200,https://www.igdb.com/categories/paper,12781f15-a779-3a95-b328-7b9c1dbc2892,75
3102,1480809600,scissors,scissors,1480809600,https://www.igdb.com/categories/scissors,95e97bf6-3f62-3a33-8171-e93f1aeb7a77,16
5963,1507248000,plot twist,plot-twist,1507248000,https://www.igdb.com/categories/plot-twist,742d6a10-5428-4565-5ba6-58fb58740107,55
4628,1507075200,candle,candle,1507075200,https://www.igdb.com/categories/candle,b7ba876e-41a6-4029-13eb-349262ec67d9,56
4598,1507075200,houseplant,houseplant,1507075200,https://www.igdb.com/categories/houseplant,52f5fc5e-b928-2eae-57db-255db9110053,48
6005,1507248000,taser,taser,1507248000,https://www.igdb.com/categories/taser,42b6e5fa-0079-cc9c-1412-67fcb5284a6e,8
4422,1507075200,chocolate,chocolate,1507075200,https://www.igdb.com/categories/chocolate,74fa79c4-c409-13b5-33eb-6619a935ab42,4
6214,1507248000,day one patch,day-one-patch,1507248000,https://www.igdb.com/categories/day-one-patch,e134d315-677f-0e2e-6b08-d05a02f18d01,11
5410,1507248000,functional mirrors,functional-mirrors,1507248000,https://www.igdb.com/categories/functional-mirrors,f1dc9ef4-dedd-621b-355d-9e925ca5250f,23
5369,1507248000,minimap,minimap,1507248000,https://www.igdb.com/categories/minimap,c6c0a439-de66-cbce-269e-f1d1083aa54d,56
4697,1507075200,lightning,lightning,1507075200,https://www.igdb.com/categories/lightning,bd57249c-70ce-e73d-3050-572e9e5f31c9,33
3961,1501200000,fog,fog,1501200000,https://www.igdb.com/categories/fog,385dd355-0386-eef9-f0c4-2cd51b48feec,19
4592,1507075200,photo,photo,1507075200,https://www.igdb.com/categories/photo,e1d684a0-5074-d1b2-2eed-7069e2daf6b0,60
4661,1507075200,gatling gun,gatling-gun,1507075200,https://www.igdb.com/categories/gatling-gun,c18ed03b-0fe2-51b5-3c9c-1089240235aa,41
2677,1471392000,bobcat,bobcat,1471392000,https://www.igdb.com/categories/bobcat,63a19be5-bec7-6bf7-bb00-dc1391a1ab58,4
5858,1507248000,tent,tent,1507248000,https://www.igdb.com/categories/tent,6d1dcbf2-bed1-636c-62e8-26336c4b2a02,23
4199,1507075200,fedora hat,fedora-hat,1507075200,https://www.igdb.com/categories/fedora-hat,728a75d4-1b06-fff5-3353-cd112e330fcc,18
4712,1507075200,assault rifle,assault-rifle,1507075200,https://www.igdb.com/categories/assault-rifle,a043d263-e14a-e1d2-dd5d-061acfa328cf,59
4738,1507075200,fence,fence,1507075200,https://www.igdb.com/categories/fence,41e054bf-2302-6ec2-4177-ce4dde32a928,73
4831,1507161600,street light,street-light,1507161600,https://www.igdb.com/categories/street-light,2a808f78-8aa2-8ac0-9808-0062528ff42d,67
